Sexo,Edad,Ocupacion,DIRECTORIO_new,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral,Ciudad,Clase,Estrato,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
Hombre,45,Trabajando,601351111,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Poco,5,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,aumento,no,inseguro,inseguro,inseguro,seguro,inseguro,falta de vigilacia policial,disminuyo,no sabe,no sabe,disminuyo,no sabe,disminuyo,no sabe,aumento,no sabe,no sabe,5,4,5,Bogotá,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,60,Trabajando,601352111,Poco,Poco,Nada,Nada,Poco,Nada,Poco,Poco,4,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,no,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,disminuyo,no sabe,aumento,aumento,aumento,aumento,disminuyo,disminuyo,no sabe,2,1,2,Bogotá,Cabecera,1.0,no,no,no,no,si,no,no,no,si,no,no,no
Hombre,58,Trabajando,601353111,Nada,Nada,Nada,Mucho,Poco,Poco,Nada,Poco,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,seguro,inseguro,falta de vigilacia policial,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,4,1,1,Bogotá,Cabecera,3.0,no,no,si,si,si,no,si,si,si,si,no,si
Mujer,47,Oficios del hogar,601626111,Poco,Poco,Nada,Nada,Nada,Nada,Poco,Poco,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,seguro,no frecuenta parques,seguro,seguro,seguro,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,2,1,1,Cali,Cabecera,2.0,si,no,si,si,si,no,no,no,no,no,no,si
Mujer,51,Oficios del hogar,601627111,Poco,Poco,Poco,Poco,Poco,Poco,Mucho,Nada,5,5,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,seguro,seguro,siguio igual,si,inseguro,no frecuenta parques,inseguro,seguro,seguro,desempleo,disminuyo,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,aumento,no sabe,no sabe,1,1,1,Cali,Cabecera,2.0,si,no,si,si,si,no,no,no,no,no,no,si
Mujer,65,Oficios del hogar,601628111,Poco,Poco,Poco,Nada,Poco,Poco,Poco,Poco,3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,no frecuenta parques,inseguro,seguro,inseguro,el consumo de drogas,no sabe,aumento,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,3,1,Cali,Cabecera,2.0,si,no,no,si,si,no,no,no,no,no,no,si
Mujer,73,Oficios del hogar,601629111,Poco,Nada,Nada,Poco,Nada,Nada,Poco,Poco,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,disminuyo,no,inseguro,no frecuenta parques,inseguro,seguro,seguro,desempleo,aumento,aumento,no sabe,no sabe,aumento,disminuyo,no sabe,disminuyo,no sabe,no sabe,5,3,5,Cali,Cabecera,2.0,si,no,si,si,si,no,no,no,no,no,no,si
Mujer,45,Trabajando,601630111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,si,inseguro,seguro,seguro,inseguro,no frecuenta puentes y peatonales,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,4,2,3,Cali,Cabecera,2.0,si,no,no,si,si,no,no,no,no,no,no,si
Mujer,29,Trabajando,601631111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,seguro,seguro,seguro,no toma transporte publico,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,5,5,Cali,Cabecera,2.0,si,no,no,no,no,si,no,no,si,si,no,si
Hombre,50,Trabajando,601632111,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,Poco,3,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,seguro,seguro,seguro,seguro,seguro,el consumo de drogas,no sabe,disminuyo,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,3,1,1,Cali,Cabecera,2.0,si,no,no,si,si,no,no,no,no,no,no,si
Mujer,64,Oficios del hogar,601633111,Mucho,Mucho,Mucho,Poco,Poco,Poco,Mucho,Mucho,3,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,3,3,1,Cali,Cabecera,2.0,si,si,si,si,si,si,no,no,si,si,no,si
Hombre,42,Trabajando,601634111,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,seguro,seguro,seguro,no toma transporte publico,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,3,5,4,Cali,Cabecera,2.0,si,no,no,no,si,si,no,no,si,si,no,si
Hombre,33,Trabajando,601635111,Mucho,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,aumento,no,inseguro,inseguro,inseguro,no toma transporte publico,inseguro,desempleo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,aumento,disminuyo,disminuyo,disminuyo,disminuyo,5,3,4,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,63,Trabajando,601636111,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,si,inseguro,no frecuenta parques,inseguro,seguro,seguro,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,disminuyo,aumento,no sabe,no sabe,4,4,5,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,si,no,no,si
Hombre,47,Trabajando,601637111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,inseguro,seguro,inseguro,no toma transporte publico,seguro,desempleo,aumento,no sabe,no sabe,disminuyo,aumento,aumento,aumento,aumento,no sabe,no sabe,5,3,3,Cali,Cabecera,2.0,no,si,no,si,no,si,no,no,si,no,no,si
Hombre,63,Buscando trabajo,601638111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,seguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,3,2,2,Cali,Cabecera,2.0,si,si,si,si,si,no,no,no,si,si,no,si
Hombre,57,Trabajando,601639111,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,si,inseguro,seguro,inseguro,inseguro,seguro,desempleo,aumento,disminuyo,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,3,4,5,Cali,Cabecera,2.0,si,no,si,si,si,no,no,no,no,si,no,si
Mujer,39,Trabajando,601640111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,inseguro,inseguro,disminuyo,no,seguro,inseguro,inseguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,no sabe,3,2,4,Cali,Cabecera,2.0,no,no,no,si,no,no,no,no,si,no,no,si
Mujer,59,Trabajando,601641111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,inseguro,inseguro,inseguro,seguro,seguro,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,4,4,Cali,Cabecera,2.0,si,no,no,si,si,no,no,no,si,si,no,si
Hombre,32,Trabajando,601642111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,seguro,seguro,seguro,no toma transporte publico,seguro,desempleo,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,1,1,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,no
Hombre,43,Trabajando,602170111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,falta de vigilacia policial,no sabe,aumento,no sabe,aumento,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,3,3,3,Bogotá,Cabecera,2.0,si,no,no,si,si,si,no,si,no,si,no,si
Mujer,38,Trabajando,602171111,Poco,Poco,Poco,Poco,Mucho,Mucho,Poco,Poco,4,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,no,seguro,no frecuenta parques,seguro,inseguro,seguro,falta de educacion,disminuyo,no sabe,aumento,no sabe,aumento,aumento,no sabe,aumento,no sabe,no sabe,4,3,5,Bogotá,Cabecera,2.0,si,no,no,si,si,no,no,no,no,si,no,no
Mujer,56,Trabajando,602172111,Poco,Poco,Mucho,Poco,Nada,Poco,Poco,Mucho,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,inseguro,seguro,no frecuenta puentes y peatonales,falta de educacion,aumento,no sabe,aumento,aumento,aumento,aumento,no sabe,disminuyo,disminuyo,no sabe,5,2,2,Bogotá,Cabecera,2.0,no,no,si,no,no,no,no,no,no,no,no,si
Hombre,21,Estudiando,602174111,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,3,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,si,inseguro,inseguro,inseguro,seguro,seguro,desempleo,aumento,aumento,disminuyo,aumento,aumento,aumento,disminuyo,aumento,no sabe,disminuyo,5,2,1,Bogotá,Cabecera,1.0,si,no,no,no,si,si,no,no,no,si,no,si
Mujer,65,Trabajando,602175111,Poco,Poco,Poco,Poco,Nada,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,no,inseguro,inseguro,seguro,seguro,seguro,falta de educacion,aumento,aumento,no sabe,no sabe,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,4,4,4,Bogotá,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,37,Oficios del hogar,602176111,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,seguro,seguro,inseguro,seguro,seguro,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,no sabe,disminuyo,4,2,1,Bogotá,Cabecera,1.0,si,no,si,si,si,no,no,no,si,si,no,si
Hombre,50,Trabajando,602178111,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,2,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,no,inseguro,inseguro,seguro,seguro,seguro,desempleo,no sabe,no sabe,aumento,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,3,3,5,Bogotá,Cabecera,2.0,no,no,no,si,si,no,no,no,no,no,no,no
Hombre,60,Buscando trabajo,602180111,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,inseguro,inseguro,inseguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,disminuyo,5,3,2,Bogotá,Cabecera,1.0,si,no,si,si,si,no,no,no,no,si,no,si
Mujer,66,Incapacitado permanente para trabajar,602181111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,si,inseguro,no frecuenta parques,seguro,seguro,seguro,desempleo,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,4,1,1,Bogotá,Cabecera,2.0,no,no,si,si,si,no,no,no,no,si,no,si
Mujer,64,Oficios del hogar,602183111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,inseguro,seguro,siguio igual,no,seguro,inseguro,inseguro,inseguro,inseguro,otro,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,5,5,Bogotá,Cabecera,2.0,no,si,si,no,no,no,no,no,no,no,no,si
Mujer,71,Otra actividad,602184111,Mucho,Mucho,Poco,Nada,Poco,Mucho,Poco,Nada,5,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,siguio igual,no,inseguro,seguro,inseguro,no toma transporte publico,seguro,desempleo,aumento,no sabe,no sabe,aumento,aumento,no sabe,no sabe,aumento,no sabe,no sabe,5,3,3,Bogotá,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,no
Mujer,44,Trabajando,602185111,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,no frecuenta parques,no frecuenta lugares comerciales,seguro,no frecuenta puentes y peatonales,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,aumento,5,1,5,Bogotá,Cabecera,2.0,no,no,si,si,si,si,no,no,no,no,no,si
Mujer,40,Trabajando,602371111,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,2,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,seguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,aumento,disminuyo,no sabe,aumento,aumento,aumento,no sabe,disminuyo,no sabe,no sabe,3,3,3,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,si
Mujer,40,Trabajando,602373111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,desempleo,disminuyo,disminuyo,disminuyo,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,3,3,3,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,si,si,no,no
Hombre,71,Pensionado,602374111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,si,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,3,3,3,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,si,no,no,no
Hombre,67,Buscando trabajo,602375111,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,3,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,disminuyo,disminuyo,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,3,4,5,Cali,Cabecera,2.0,si,si,si,si,si,si,no,no,si,si,no,si
Mujer,48,Oficios del hogar,602376111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,seguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,2,1,Cali,Cabecera,2.0,si,si,si,si,si,si,no,no,si,si,no,si
Mujer,44,Trabajando,602377111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,si,seguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,disminuyo,no sabe,3,3,3,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,si,si,no,no
Mujer,78,Pensionado,602378111,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,inseguro,no frecuenta lugares comerciales,inseguro,seguro,desempleo,aumento,no sabe,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,3,5,Cali,Cabecera,3.0,no,no,no,si,no,no,no,no,no,si,no,si
Mujer,30,Trabajando,602379111,Mucho,Mucho,Poco,Mucho,Poco,Mucho,Mucho,Poco,2,3,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,seguro,seguro,aumento,si,seguro,seguro,inseguro,seguro,seguro,falta de educacion,aumento,no sabe,no sabe,disminuyo,disminuyo,aumento,no sabe,no sabe,no sabe,no sabe,5,4,4,Cali,Cabecera,2.0,no,no,no,si,si,no,no,no,no,no,no,no
Mujer,38,Trabajando,602381111,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Poco,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,desempleo,no sabe,no sabe,no sabe,aumento,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,4,4,5,Cali,Cabecera,2.0,si,no,no,si,si,no,no,no,si,si,no,si
Hombre,51,Trabajando,602382111,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,aumento,si,inseguro,seguro,seguro,no toma transporte publico,no frecuenta puentes y peatonales,falta de vigilacia policial,aumento,disminuyo,aumento,disminuyo,aumento,aumento,aumento,disminuyo,aumento,no sabe,4,5,5,Cali,Cabecera,2.0,si,no,si,si,si,no,no,no,si,si,no,si
Mujer,58,Trabajando,602384111,Nada,Mucho,Nada,Nada,Nada,Poco,Poco,Poco,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,seguro,seguro,seguro,seguro,seguro,ley poco dura contra delincuentes,no sabe,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,3,2,2,Cali,Cabecera,2.0,si,si,si,si,si,si,no,no,si,si,no,si
Mujer,71,Oficios del hogar,602385111,Nada,Nada,Nada,Nada,Nada,Poco,Poco,Poco,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,no,seguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,no sabe,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,aumento,4,4,3,Cali,Cabecera,2.0,no,no,no,si,si,no,no,no,no,no,no,si
Mujer,41,Trabajando,602386111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,seguro,desempleo,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,5,4,4,Cali,Cabecera,2.0,no,no,no,si,si,no,no,no,no,no,no,si
Hombre,41,Trabajando,602387111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,no
Mujer,26,Trabajando,602388111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,5,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,inseguro,inseguro,seguro,seguro,falta de vigilacia policial,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,9,9,9,Cali,Cabecera,2.0,no,no,no,no,no,no,no,no,no,no,no,no
Mujer,42,Trabajando,602389111,Mucho,Mucho,Mucho,Mucho,Nada,Poco,Mucho,Mucho,4,4,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,desempleo,aumento,aumento,no sabe,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,9,3,9,Cali,Cabecera,2.0,si,si,si,si,si,si,no,no,si,no,no,si
Hombre,82,Pensionado,602711111,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,aumento,5,5,5,Medellín,Cabecera,3.0,no,no,no,si,si,si,no,no,si,si,no,no
Mujer,49,Oficios del hogar,602712111,Poco,Poco,Mucho,Poco,Poco,Mucho,Poco,Poco,3,2,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,no,inseguro,inseguro,seguro,inseguro,no frecuenta puentes y peatonales,ley poco dura contra delincuentes,aumento,disminuyo,aumento,aumento,aumento,aumento,no sabe,no sabe,disminuyo,no sabe,4,2,2,Medellín,Cabecera,3.0,no,no,no,si,si,no,no,si,no,si,no,si
Hombre,56,Trabajando,602713111,Mucho,Mucho,Poco,Mucho,Poco,Poco,Mucho,Mucho,3,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,seguro,inseguro,seguro,seguro,otro,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,aumento,5,3,5,Medellín,Cabecera,3.0,no,si,no,si,si,no,no,no,si,si,no,si
Hombre,68,Pensionado,602714111,Mucho,Mucho,Poco,Poco,Poco,Poco,Mucho,Mucho,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,disminuyo,si,inseguro,inseguro,inseguro,inseguro,inseguro,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,4,9,Medellín,Cabecera,3.0,no,no,no,no,no,no,no,no,si,si,no,no
Mujer,55,Trabajando,602715111,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,inseguro,disminuyo,si,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,ley poco dura contra delincuentes,no sabe,no sabe,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,aumento,4,5,4,Medellín,Cabecera,3.0,si,si,no,si,si,no,no,no,si,si,no,si
Mujer,67,Trabajando,603425111,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,seguro,siguio igual,si,seguro,no frecuenta parques,seguro,seguro,no frecuenta puentes y peatonales,falta de educacion,no sabe,aumento,no sabe,no sabe,aumento,no sabe,no sabe,no sabe,no sabe,no sabe,5,4,4,Bogotá,Cabecera,2.0,no,no,no,no,si,si,no,no,si,si,no,si
Hombre,30,Trabajando,603426111,Mucho,Mucho,Poco,Poco,Poco,Poco,Mucho,Mucho,4,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,seguro,aumento,no,inseguro,no frecuenta parques,inseguro,no toma transporte publico,seguro,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,4,3,5,Bogotá,Cabecera,1.0,si,no,si,si,si,si,no,no,si,si,no,si
Hombre,63,Pensionado,603428111,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Poco,1,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,aumento,si,seguro,seguro,seguro,seguro,seguro,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,no sabe,no sabe,5,3,3,Bogotá,Cabecera,1.0,si,no,si,si,si,no,no,no,no,no,no,si
Mujer,39,Oficios del hogar,603429111,Nada,Nada,Nada,Nada,Nada,Mucho,Nada,Nada,3,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,inseguro,inseguro,disminuyo,si,inseguro,inseguro,no frecuenta lugares comerciales,seguro,seguro,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,3,2,1,Bogotá,Cabecera,1.0,si,no,si,si,si,si,no,no,si,si,no,si
Hombre,79,Pensionado,603430111,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Nada,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,seguro,seguro,siguio igual,no,inseguro,inseguro,inseguro,seguro,no frecuenta puentes y peatonales,desempleo,aumento,no sabe,aumento,no sabe,aumento,aumento,no sabe,disminuyo,disminuyo,no sabe,5,5,9,Bogotá,Cabecera,2.0,no,no,no,no,si,no,no,no,no,si,no,si
